id,puzzle,solution,clues,difficulty
27,6.....2...713.....39.4...7...3..289..1..8...4...5..1...6...854.........1..82.....,6.55E+80,25,0
28,.....8...2.3...4.6..54.37....4...6...9.8.....5..9.4..27..589..34..2...7..........,9.48E+80,25,2.8
29,.9.....8.5......96......4..6..34....9......2.2...6..17.1....8...6..17..97...95...,1.97E+80,24,1
30,2...7..4.1.93........8..2..56...78.17.........9.26..3...573...46...1..98.........,2.87E+80,26,2.8
31,5..6..7..38.....4.1..3.4..5.6.8..2..45.2..........157.6...1............8....4.137,5.43E+80,26,0
32,.4...8.....6.2......57....8.52..7...1..35....4....27...7.9...64.......1....431..2,7.43E+80,25,3.4
33,..6...51..52.7......761.....8.....5.7....2698..4..7.....926........9.3........16.,3.96E+80,25,0
34,......27..9.2......4.9.6.....6........16.53..2...98...75.46......8...1.....3....7,6.14E+80,23,0
35,..7.....34...6..12.....37..1.8.57.......8..6......21...........6...459....9....87,2.68E+80,23,1.8
36,1.........9.....6.82.4...9..6....8..2...987...4.27.3.....7...15.....6.3..5....9..,1.74E+80,24,1.3
37,...86.9.5.8.....217....4..862...543.5...7........4.6......92.8..61...5...........,1.33E+80,25,0
38,39..8.....6...347..7.6.2..3.2.1.......52..9..6....5.....2..7.....9.4.5.....8.....,3.92E+80,24,0
39,3....5.78...6.7....6..1.4..6.....3.7..49...6.........442............8.51.13..67..,3.91E+80,25,1.9
40,...82.4..52..4..1.6.......7.4...9.2...25.....9.37....6..8.1.......2...3.........5,3.72E+80,23,0
41,5.7.....8..6.4...7.937........3.7.5..3..2......2..18.........1.1..4...9.9.4..3...,5.18E+80,24,3.8
42,.8.....9...5.8.7..7....9..4.16.42....3..9.1.78...3....4.....5...2.5...1.....1.9..,1.82E+80,25,0
43,.6.5...7.8.5..3..2.2......57...8..9..8..6...4...4..3.........3....7.56....3.98...,1.70E+80,24,3.1
44,1..7.8..6.45...2.......1.9...439............8.3.1..........9.7..9...6..5.5.27....,1.30E+80,23,1.8
45,...92...1....57...9..3.6.42.9217...4.3........6...9...4...3....6....8....27...6..,3.77E+80,25,0
46,....2639..........2.83.....7.9....8.35...9.1....2....6....516..4.......7......53.,5.47E+80,23,2.7
47,...2.1.3...1...4..7......95....4.91...43.7...1.69.....6...2...7.5...9...2..6...5.,9.45E+80,25,0
48,......6.....4...97...7.18.247..18......2....639...4.1..5....1..7...5......48.9.6.,2.48E+80,26,2.5
49,93..2..6...2...7..6....89......45..9.4.6.......7.....8.5.......7......2...9..78..,9.39E+80,22,0
50,.4.1...39........6.65...2..8..461........847.......9..38...4.1....3.......72.....,2.48E+80,23,0
51,95..6...4...8.........5..1...6..1..92.....3..4....98...13...7..67...2..........35,9.57E+80,23,0
52,7....1..3..5.2.9..3.9...17..........968..2.........6.8....83.1..7.4.....581....9.,7.27E+80,25,0
53,.98...3.2..7.9.....6.32..7............6.89..48....4....8.6..15...14..7.......74..,1.99E+80,25,0
54,.........68.....49....7...51.8..6...3679..8.....7......4.82..377.5.1..9........2.,5.72E+80,25,2.4
55,...5...2...84.76...1..6....6.....7...81..9..2..7..85..2..8...5..............21.3.,7.70E+80,23,0
56,2.9....8......8..6....9.....5.7..3.4.8..1...2.1.6.37...9.26..5.3..........1..7...,2.39E+80,24,0
57,.4..8.......3...97.3..7..5.5.2.4.7.88.....2.....9..........4...6.78..9....475...1,7.46E+80,25,1.7
58,.............8..2..8.3.69.13..2......6.....72.4.1....5..97.....2..5..34......9...,1.24E+80,22,0
59,....3....16..........1.5........94..42..8..6.7.....5.2..18..6....95....7....6394.,9.58E+80,24,0
60,...49..6...6....58.5...7..4......53159..8...62.....4.......3....4......2..21.....,1.28E+80,23,1.6
61,.6497....5....1...9...4.5......32......7..42...8.1..5.735.....969..8..7.......6..,1.65E+80,26,2.2
62,24..6..7.....91...........1...2....9.1..897..5.9...3...5.62...4.7...865...65.....,2.42E+80,26,1.7
63,9..6....5........1.31.4.7......586.7..2.1..4.......9..4....5.8..5.1.9.....9.7....,9.48E+80,24,3.4
64,.2348.5........3.9...5...4.6...1.2...87.2.....1..3..5........6...82..1.4.3..9....,7.23E+80,25,1.4
65,....8....46..1.3......37...94....2.3...9....1..8..46.7..3....7.6......5415.......,3.29E+80,24,1.2
66,6...7.....173.6...4.........9.2.35.....7.4.82.2..9....9...17..32.....7.1....3..65,6.32E+80,27,3.5
67,6..1..2....1.9......8...6..27.6.........47..6...95.8..15..3.4...6...9....3....5.7,6.43E+80,25,2.1
68,.4...3...86....7.37...1.........198....4.2.5.......6..6.5.7.824.........23......6,5.42E+80,24,0
69,..95....23.......5..5..41....3.7649.6......8...72........79....1...6.......48..6.,7.50E+80,24,0
70,..149.7.......79..3..........5...3.9..3.58...........4..76..4..1.2.......3.2.5.87,6.51E+80,24,1.6
71,.3..8...54.7...62........8.....24.968...........6.14......59...2.5.16..9.7.......,6.32E+80,24,2
72,.32......64...1..9..589.......7.3.......4..63..9.6..8.......63........97..7..5...,9.32E+80,23,2.7
73,...4..56..1.5.6.9.....973....9.2..4.6....5......37....5.2.......63.........96.8..,2.97E+80,24,4.3
74,4.6..5.7...736...4..2.1....1...574.9....8...18.....2.....4..5.6..8.....7..1..9...,4.37E+80,26,0
75,...91......93.458.5.......1..71.3.....5.9...6...48..3....2..84.1.3....6......8...,3.29E+80,25,0
76,..14.5...3..2.7.........92.....891....2...43.......8..43.7...8.7.......6.......59,8.21E+80,23,1.5
77,......32.4...1...91.....7..........43.946......827.......9...63...3.25...2.......,8.76E+80,22,1.5
78,2.....54..9.81.....83.......6...3..5..4....6.3..7...9.....6.7.3...27....5.1.....4,2.18E+80,24,0
79,43.........5.3...9..19...8...4...1...6..7.4....84....7...15..9..9...321.3........,4.40E+80,24,0
80,.8.....74...1.5.3..6..4.8..4.7..3...9...6...8.18..7........61...3...16...4..5....,2.82E+80,25,1.3
81,.....2.8..4.15.........63.5.3...91..7.4.3...9....41.2......7...8...1..3.1.....67.,3.52E+80,25,2.2
82,...13....63....8.25............65..1.4..2...62.69...4.8......9..572..3....2.7..5.,9.28E+80,26,1.8
83,9...6......3.5.4...4.7..39..7..8..59....2...14..6.....6..5..........95....1.4..3.,9.27E+80,24,0
84,...34...5.9..2...3........454...6..9..3..2.8....5......2..8.93.6.4....7....7.....,2.76E+80,23,0
85,......76.3.4....98.69........3.8.6...1..2.....7.........7..9.84.9.3.....8...15..7,5.82E+80,24,0
86,257..8....9............4.6....5..74.......9..37....5.87.49.......1....3....23.6..,2.57E+80,23,0
87,9.2....1.....6...81....7.3..1...........2.5....3.1..8.4..3.......54....632..98...,9.83E+80,23,1.2
88,..7.9....3.6.4...7.........9.567.1...3...1..6.......74.4.2....1...1.....5.8..3..2,1.87E+80,24,0
89,6..34.5....9.5.4.8....8.....61...74....4..3.......6.2.1...6..5.8.4.....77....1...,6.87E+80,25,0
90,8.36.....716.5.4..4.......1....7.....35..4.7....9.6.1....1.....98.2...........32.,8.24E+80,24,0
91,5..42.87.64.......3.8.....5.7...3.41...2......81...2.6.6....91....73.............,5.19E+80,24,0
92,6.43........5.62.9........73.9..8...51..............759.........2..47.1.7.5..3.6.,6.94E+80,24,0
93,..9.6.....219...8..3...7.9.......154.1........7.........3.1.6.....35.9..89.2...4.,7.59E+80,24,0
94,..24..83.....7....5.83..7.98.........23...15.49..2......7.1.......2.5..6..4...2..,6.72E+80,25,4.7
95,.6.3.21....47....37......8.2..5......1.....76....1.9.......379...8.....44..6.8.2.,8.69E+80,25,0
96,4.9.2..85..7.....6.264.........4..5...5...7..8.2.9............9....321.72...1....,4.20E+80,24,0
97,.53.8......7.9.2.......2.1..8.....2.512...486........1....2..4..6.1.......46...3.,2.54E+80,24,0
98,8.1....9..4..3.2..7.....158...........4..9...5..17.93....4.6....5.........791..8.,8.62E+80,24,2.7
99,7..4........1..96.....3..5....7....9.3.6.2.....9..1..619..4.3..4.....1.82.......7,7.25E+80,24,1
100,....9....46.....7...9...51...53...4...3.2.8..8............819.7..16....223.......,1.59E+80,23,3.5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
